                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2414,                 5.2531,                 4.2445,                0.00037,                0.03081,                0.00026,                0.00012,                 4.5839,                 4.6528,                 4.1603,             0.00012726,             0.00012726,             0.00012726
                      2,                 4.2219,                 5.1913,                 4.1705,                0.00041,                0.03922,                 0.0005,                0.00016,                  4.574,                 4.6436,                 4.1557,             0.00023751,             0.00023751,             0.00023751
                      3,                 3.9364,                 4.9045,                 4.0414,                0.00046,                0.04202,                0.00065,                0.00016,                 4.5729,                 4.6612,                 4.1614,             0.00032077,             0.00032077,             0.00032077
                      4,                 3.6449,                 4.6584,                 3.7599,                0.00044,                0.04202,                  0.001,                0.00026,                 4.5571,                 4.6117,                 4.1625,             0.00037703,             0.00037703,             0.00037703
                      5,                 3.4063,                 4.3616,                 3.6056,                0.00037,                0.04482,                0.00142,                0.00037,                 4.4993,                 4.5945,                 4.1571,             0.00040629,             0.00040629,             0.00040629
                      6,                 3.3752,                 4.2737,                 3.4428,                0.00048,                0.04202,                0.00107,                0.00027,                 4.5205,                 4.5124,                 4.1876,             0.00040855,             0.00040855,             0.00040855
                      7,                  3.274,                 4.1669,                 3.2992,                0.00048,                0.04202,                0.00107,                0.00027,                 4.6787,                 4.7061,                 4.3688,             0.00036905,             0.00036905,             0.00036905
                      8,                  3.233,                 4.0886,                 3.1447,                0.00191,                0.05882,                 0.0015,                0.00051,                 4.3856,                 4.5747,                 4.0767,             0.00027906,             0.00027906,             0.00027906
                      9,                 3.1951,                 3.9185,                 3.0553,                0.00068,                 0.0802,                0.00456,                0.00137,                 3.8937,                 4.2815,                 3.5895,             0.00018907,             0.00018907,             0.00018907
                     10,                 3.1647,                 3.9298,                 3.0566,                0.00249,                0.16936,                0.01287,                0.00398,                 3.4619,                 3.9091,                 3.1974,             9.9081e-05,             9.9081e-05,             9.9081e-05
