                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8677,                 1.7057,                 1.6822,                0.51818,                0.56189,                0.56075,                0.27104,                 1.8161,                 1.5547,                 1.6319,              0.0008793,              0.0008793,              0.0008793
                     35,                 1.8599,                 1.6833,                 1.6884,                0.58595,                0.49854,                0.53122,                0.26437,                 1.9171,                 1.5924,                 1.6986,              0.0008784,              0.0008784,              0.0008784
                     36,                 1.8353,                 1.6756,                  1.714,                0.55004,                0.49016,                0.50867,                0.24023,                 1.9575,                 1.6262,                 1.7188,              0.0008775,              0.0008775,              0.0008775
                     37,                 1.8009,                 1.6267,                 1.6802,                0.50814,                0.55039,                0.52257,                0.28796,                 1.8427,                  1.711,                 1.6473,              0.0008766,              0.0008766,              0.0008766
                     38,                 1.7916,                 1.5984,                 1.6471,                0.59327,                 0.5647,                0.56956,                0.28015,                 1.7984,                 1.4902,                 1.6373,              0.0008757,              0.0008757,              0.0008757
                     39,                 1.8103,                 1.5928,                 1.6345,                0.52655,                0.52372,                0.52223,                0.28694,                 1.8204,                 1.5307,                 1.6152,              0.0008748,              0.0008748,              0.0008748
                     40,                 1.7743,                 1.5771,                 1.6456,                0.60307,                0.55364,                0.56439,                0.29278,                 1.8198,                 1.4932,                 1.6366,              0.0008739,              0.0008739,              0.0008739
                     41,                 1.7768,                 1.5796,                 1.6233,                0.52338,                0.54531,                0.56134,                0.28866,                 1.7872,                 1.5033,                 1.5799,               0.000873,               0.000873,               0.000873
                     42,                 1.7835,                 1.5647,                  1.593,                0.59684,                0.51477,                0.54962,                0.30275,                 1.7306,                  1.506,                 1.5753,              0.0008721,              0.0008721,              0.0008721
                     43,                 1.7483,                    1.5,                 1.5825,                0.64714,                0.51046,                0.58191,                0.31903,                 1.7863,                 1.5245,                 1.6141,              0.0008712,              0.0008712,              0.0008712
                     44,                 1.7222,                 1.5008,                 1.5735,                0.67839,                0.54968,                0.60626,                0.32517,                 1.7234,                 1.4301,                 1.5686,              0.0008703,              0.0008703,              0.0008703
                     45,                  1.719,                 1.5081,                 1.5593,                0.66465,                0.53863,                  0.582,                0.31428,                 1.7587,                 1.4366,                  1.594,              0.0008694,              0.0008694,              0.0008694
                     46,                  1.747,                 1.4954,                 1.5775,                0.62861,                0.54823,                0.57344,                0.31168,                 1.7362,                 1.4006,                 1.5523,              0.0008685,              0.0008685,              0.0008685
                     47,                 1.7399,                 1.4613,                  1.569,                0.66935,                0.48948,                0.56355,                0.30367,                 1.7709,                 1.5173,                 1.5845,              0.0008676,              0.0008676,              0.0008676
                     48,                 1.7122,                 1.4686,                 1.5659,                0.61037,                0.57433,                 0.6118,                0.33435,                 1.7014,                 1.3876,                 1.5459,              0.0008667,              0.0008667,              0.0008667
                     49,                 1.6601,                 1.3962,                  1.545,                0.73175,                0.55489,                0.62244,                0.34049,                  1.692,                 1.3571,                 1.5411,              0.0008658,              0.0008658,              0.0008658
                     50,                 1.6571,                 1.4016,                 1.5144,                0.62244,                0.56175,                0.59427,                0.32832,                 1.7436,                 1.4153,                 1.5383,              0.0008649,              0.0008649,              0.0008649
                     51,                 1.6583,                 1.4235,                 1.5317,                0.60793,                0.59189,                0.61002,                0.34946,                 1.6467,                 1.3922,                 1.5206,               0.000864,               0.000864,               0.000864
                     52,                 1.6624,                 1.4463,                 1.5416,                 0.5565,                0.64184,                0.61773,                0.34119,                 1.6897,                 1.3996,                  1.544,              0.0008631,              0.0008631,              0.0008631
                     53,                 1.6298,                 1.3886,                 1.5304,                0.61909,                0.55861,                0.60867,                0.33376,                  1.703,                  1.412,                 1.5555,              0.0008622,              0.0008622,              0.0008622
                     54,                 1.6612,                 1.3944,                 1.5223,                0.58286,                0.56721,                0.58449,                0.34451,                 1.6637,                 1.3788,                 1.5274,              0.0008613,              0.0008613,              0.0008613
                     55,                 1.6137,                 1.3487,                 1.4768,                0.56323,                 0.6522,                0.60757,                0.35309,                 1.6531,                 1.3473,                 1.5111,              0.0008604,              0.0008604,              0.0008604
                     56,                 1.6149,                  1.355,                 1.5266,                0.72157,                0.55382,                0.64578,                 0.3769,                 1.6521,                 1.3621,                 1.5085,              0.0008595,              0.0008595,              0.0008595
                     57,                 1.5641,                  1.319,                 1.4749,                0.69383,                0.53142,                0.62011,                0.35878,                 1.6396,                 1.2991,                  1.486,             0.00085861,             0.00085861,             0.00085861
                     58,                 1.6108,                 1.3299,                 1.4664,                0.65664,                0.53351,                0.60194,                0.34117,                 1.6846,                 1.4502,                 1.5088,             0.00085771,             0.00085771,             0.00085771
                     59,                  1.553,                 1.2776,                  1.454,                0.63668,                0.57914,                 0.6309,                0.35766,                 1.6458,                 1.3315,                 1.5115,             0.00085681,             0.00085681,             0.00085681
                     60,                 1.5893,                 1.3466,                 1.4994,                 0.6345,                0.58896,                0.62498,                0.35026,                 1.6559,                 1.3167,                 1.4966,             0.00085591,             0.00085591,             0.00085591
                     61,                 1.5654,                 1.2936,                  1.462,                0.73786,                0.55259,                0.63909,                0.36456,                 1.5917,                 1.3066,                 1.4609,             0.00085501,             0.00085501,             0.00085501
                     62,                 1.5965,                 1.2897,                 1.4831,                0.74736,                0.59291,                0.64874,                0.37414,                 1.6307,                 1.2691,                 1.4778,             0.00085411,             0.00085411,             0.00085411
                     63,                 1.5754,                 1.3121,                 1.4722,                0.62358,                 0.6116,                0.64595,                0.36621,                 1.6153,                 1.2578,                 1.4749,             0.00085321,             0.00085321,             0.00085321
                     64,                 1.5249,                 1.2614,                 1.4514,                0.75076,                0.59122,                 0.6647,                 0.3834,                 1.5858,                 1.2685,                 1.4504,             0.00085231,             0.00085231,             0.00085231
                     65,                 1.5485,                 1.2695,                 1.4492,                0.65379,                0.63935,                0.66735,                0.37497,                  1.613,                 1.2807,                 1.4922,             0.00085141,             0.00085141,             0.00085141
                     66,                 1.5383,                 1.2827,                 1.4531,                 0.7192,                0.60788,                0.68783,                0.39359,                 1.5815,                 1.2734,                  1.454,             0.00085051,             0.00085051,             0.00085051
                     67,                 1.4844,                 1.2172,                 1.4048,                0.63907,                0.62611,                0.65249,                 0.3765,                 1.5653,                 1.2738,                 1.4426,             0.00084961,             0.00084961,             0.00084961
                     68,                 1.5054,                 1.2357,                 1.4131,                0.64843,                0.57867,                0.63411,                0.38379,                 1.5891,                 1.2773,                 1.4528,             0.00084871,             0.00084871,             0.00084871
                     69,                 1.4881,                 1.2317,                 1.4041,                0.69697,                0.60555,                0.67015,                 0.3915,                 1.5822,                 1.2593,                 1.4443,             0.00084781,             0.00084781,             0.00084781
                     70,                 1.4874,                 1.1914,                 1.4118,                0.69422,                0.61912,                0.66556,                  0.388,                  1.563,                 1.2296,                 1.4312,             0.00084691,             0.00084691,             0.00084691
                     71,                  1.455,                 1.1561,                 1.3918,                0.67273,                0.64554,                0.68347,                0.39188,                 1.5547,                 1.1977,                 1.4363,             0.00084601,             0.00084601,             0.00084601
                     72,                 1.4716,                 1.1889,                 1.4046,                 0.6977,                0.63281,                0.68814,                0.41087,                 1.5205,                 1.1825,                 1.4063,             0.00084511,             0.00084511,             0.00084511
                     73,                 1.5564,                 1.2242,                 1.4379,                0.66448,                 0.6335,                0.68348,                0.38687,                  1.584,                 1.2419,                 1.4582,             0.00084421,             0.00084421,             0.00084421
                     74,                 1.4979,                 1.1983,                 1.3866,                0.71814,                0.60458,                0.68306,                0.39269,                 1.5754,                 1.2555,                 1.4599,             0.00084331,             0.00084331,             0.00084331
                     75,                 1.4628,                 1.1674,                 1.3724,                 0.7192,                0.59708,                0.68742,                0.39771,                 1.5608,                 1.2122,                 1.4268,             0.00084241,             0.00084241,             0.00084241
                     76,                 1.4718,                 1.1607,                 1.3782,                0.69389,                0.64399,                0.69059,                 0.3944,                  1.596,                 1.2455,                 1.4608,             0.00084151,             0.00084151,             0.00084151
                     77,                 1.4848,                 1.1602,                 1.3882,                0.65762,                 0.6188,                0.67481,                0.39296,                 1.5043,                 1.1741,                 1.4142,             0.00084061,             0.00084061,             0.00084061
                     78,                 1.4278,                 1.1361,                 1.3736,                0.66528,                0.63205,                0.67401,                0.40665,                 1.5058,                 1.2668,                 1.4054,             0.00083971,             0.00083971,             0.00083971
                     79,                 1.4455,                 1.1136,                 1.3648,                0.74436,                0.65035,                0.71413,                0.41822,                 1.5284,                  1.172,                 1.4123,             0.00083881,             0.00083881,             0.00083881
                     80,                 1.4513,                 1.1242,                 1.3685,                0.69599,                0.59682,                0.66676,                0.39108,                 1.5524,                 1.2494,                 1.4258,             0.00083791,             0.00083791,             0.00083791
                     81,                 1.4324,                 1.1351,                 1.3814,                0.71473,                0.60442,                0.70128,                0.41239,                 1.5137,                  1.174,                 1.3897,             0.00083701,             0.00083701,             0.00083701
                     82,                 1.4477,                  1.151,                 1.3979,                0.69944,                0.65456,                0.69504,                0.40296,                 1.5424,                 1.1809,                 1.4201,             0.00083611,             0.00083611,             0.00083611
                     83,                 1.4108,                 1.1041,                 1.3614,                0.64928,                0.62614,                0.67012,                0.39234,                 1.6142,                 1.2373,                 1.4725,             0.00083521,             0.00083521,             0.00083521
                     84,                  1.447,                 1.1414,                 1.3737,                0.74021,                0.64437,                0.69987,                0.40016,                 1.5646,                 1.2148,                  1.436,             0.00083431,             0.00083431,             0.00083431
                     85,                 1.4322,                 1.0926,                 1.3587,                0.75925,                0.61917,                0.71234,                0.42205,                  1.483,                 1.1526,                 1.3963,             0.00083341,             0.00083341,             0.00083341
                     86,                 1.3943,                 1.0793,                 1.3419,                0.67828,                0.65476,                0.69206,                0.40935,                 1.4712,                 1.1671,                 1.3853,             0.00083251,             0.00083251,             0.00083251
                     87,                 1.4118,                 1.1053,                 1.3494,                0.73889,                 0.5969,                0.69702,                 0.3987,                 1.5466,                 1.1854,                 1.4329,             0.00083161,             0.00083161,             0.00083161
                     88,                 1.3947,                 1.0656,                 1.3579,                0.68368,                0.65488,                0.69467,                0.41114,                 1.4984,                 1.1463,                 1.4038,             0.00083071,             0.00083071,             0.00083071
                     89,                 1.3798,                 1.0704,                 1.3207,                 0.7623,                0.61765,                0.70313,                 0.4186,                 1.4939,                 1.1396,                 1.4079,             0.00082981,             0.00082981,             0.00082981
                     90,                  1.394,                 1.0987,                 1.3585,                 0.7242,                0.66031,                0.68641,                0.40639,                 1.4885,                 1.1568,                 1.3804,             0.00082891,             0.00082891,             0.00082891
                     91,                 1.3495,                 1.0344,                 1.3167,                0.65518,                0.66113,                0.68137,                0.41568,                 1.4789,                 1.1607,                 1.3953,             0.00082801,             0.00082801,             0.00082801
                     92,                 1.3666,                 1.0626,                 1.3312,                0.64996,                0.70093,                0.70342,                0.41412,                 1.5002,                 1.1199,                  1.414,             0.00082711,             0.00082711,             0.00082711
                     93,                  1.391,                 1.0784,                 1.3399,                0.68264,                0.65936,                0.68521,                0.41008,                 1.5158,                 1.1463,                 1.4164,             0.00082621,             0.00082621,             0.00082621
                     94,                 1.3567,                 1.0506,                 1.3343,                0.68465,                0.65392,                0.71139,                0.42566,                 1.4924,                 1.1276,                 1.3989,             0.00082531,             0.00082531,             0.00082531
                     95,                 1.3973,                 1.0856,                 1.3397,                0.68837,                0.70614,                0.73813,                0.44366,                 1.4423,                 1.1362,                 1.3654,             0.00082441,             0.00082441,             0.00082441
                     96,                 1.3691,                 1.0249,                 1.3202,                0.68048,                0.62079,                0.67449,                 0.4025,                 1.5092,                 1.2177,                 1.4223,             0.00082351,             0.00082351,             0.00082351
                     97,                  1.382,                 1.0468,                 1.3288,                0.74915,                0.66218,                0.71929,                 0.4333,                 1.4699,                 1.1435,                 1.3854,             0.00082261,             0.00082261,             0.00082261
                     98,                 1.3439,                 1.0417,                 1.2964,                0.72919,                0.63867,                    0.7,                0.40998,                 1.5543,                 1.1269,                 1.4251,             0.00082171,             0.00082171,             0.00082171
                     99,                 1.3443,                 1.0215,                 1.2993,                0.74552,                0.69026,                0.72732,                0.42766,                  1.489,                 1.1209,                 1.4026,             0.00082081,             0.00082081,             0.00082081
                    100,                 1.3708,                 1.0267,                 1.3047,                0.73772,                0.62384,                 0.7079,                 0.4282,                 1.4905,                 1.0881,                 1.3942,             0.00081991,             0.00081991,             0.00081991
                    101,                 1.3788,                 1.0335,                 1.3354,                0.78658,                 0.6883,                0.74155,                0.44291,                 1.4563,                  1.048,                 1.3803,             0.00081901,             0.00081901,             0.00081901
                    102,                 1.3509,                 1.0187,                 1.3041,                0.69442,                0.69463,                0.71987,                0.42944,                 1.4448,                  1.063,                 1.3562,             0.00081811,             0.00081811,             0.00081811
                    103,                 1.3434,                0.99704,                 1.3086,                0.70329,                0.68892,                0.72057,                0.42735,                 1.5017,                 1.1253,                  1.392,             0.00081721,             0.00081721,             0.00081721
                    104,                 1.3225,                0.98283,                 1.2801,                0.71853,                0.72164,                0.73167,                 0.4431,                 1.4641,                 1.1006,                 1.3911,             0.00081631,             0.00081631,             0.00081631
